Entry Time,Exit Time,Type,Entry Price,Exit Price,Points,Net PnL,Reason
2026-02-24 04:00:00+00:00,2026-02-24 04:40:00+00:00,BUY,25513.9,25484.7,-29.2,-2018.08,Stop Loss Hit
2026-02-24 09:55:00+00:00,2026-02-25 03:45:00+00:00,SELL,25460.25,25561.8,-101.55,-6720.8,Stop Loss Hit
2026-02-25 06:10:00+00:00,2026-02-25 07:00:00+00:00,BUY,25588.0,25536.2,-51.8,-3487.05,Stop Loss Hit
2026-02-25 07:05:00+00:00,2026-02-25 07:10:00+00:00,BUY,25528.6,25504.3,-24.3,-1699.42,Stop Loss Hit
2026-02-25 07:15:00+00:00,2026-02-25 08:30:00+00:00,BUY,25467.85,25443.9,-23.95,-1676.7,Stop Loss Hit
2026-02-25 09:30:00+00:00,2026-02-26 03:45:00+00:00,SELL,25501.0,25535.1,-34.1,-2336.47,Stop Loss Hit
2026-02-26 04:05:00+00:00,2026-02-26 04:20:00+00:00,SELL,25545.0,25510.6,34.4,2116.03,Target Hit
2026-02-26 06:10:00+00:00,2026-02-26 06:50:00+00:00,BUY,25461.35,25432.4,-28.95,-2001.7,Stop Loss Hit
2026-02-26 09:00:00+00:00,2026-02-26 09:10:00+00:00,SELL,25462.45,25513.0,-50.55,-3405.8,Stop Loss Hit
2026-02-26 09:15:00+00:00,2026-02-27 03:45:00+00:00,SELL,25510.65,25395.4,115.25,7371.25,Target Hit
2026-02-27 03:55:00+00:00,2026-02-27 04:15:00+00:00,BUY,25364.55,25347.35,-17.2,-1238.08,Stop Loss Hit
2026-02-27 08:15:00+00:00,2026-02-27 08:55:00+00:00,SELL,25327.65,25293.55,34.1,2096.47,Target Hit
2026-02-27 09:30:00+00:00,2026-02-27 09:50:00+00:00,BUY,25183.5,25166.95,-16.55,-1195.8,Stop Loss Hit
2026-03-02 08:35:00+00:00,2026-03-02 08:40:00+00:00,SELL,24746.5,24787.4,-40.9,-2778.53,Stop Loss Hit
2026-03-02 08:45:00+00:00,2026-03-02 08:55:00+00:00,SELL,24782.15,24730.3,51.85,3250.22,Target Hit
2026-03-02 09:05:00+00:00,2026-03-02 09:10:00+00:00,SELL,24837.65,24864.85,-27.2,-1887.95,Stop Loss Hit
2026-03-04 03:45:00+00:00,2026-03-04 03:50:00+00:00,BUY,24385.1,24341.15,-43.95,-2976.7,Stop Loss Hit
2026-03-04 03:55:00+00:00,2026-03-04 04:10:00+00:00,BUY,24342.85,24408.75,65.9,4163.53,Target Hit
2026-03-04 07:25:00+00:00,2026-03-04 07:35:00+00:00,SELL,24416.8,24438.15,-21.35,-1507.72,Stop Loss Hit
2026-03-04 07:40:00+00:00,2026-03-04 08:20:00+00:00,SELL,24461.0,24428.55,32.45,1989.2,Target Hit
2026-03-05 08:20:00+00:00,2026-03-05 08:25:00+00:00,BUY,24592.6,24573.7,-18.9,-1348.53,Stop Loss Hit
2026-03-05 08:30:00+00:00,2026-03-05 08:35:00+00:00,BUY,24578.2,24552.9,-25.3,-1764.42,Stop Loss Hit
2026-03-05 08:40:00+00:00,2026-03-05 08:45:00+00:00,BUY,24553.75,24531.95,-21.8,-1537.05,Stop Loss Hit
2026-03-05 09:10:00+00:00,2026-03-05 09:15:00+00:00,SELL,24726.8,24758.4,-31.6,-2173.97,Stop Loss Hit
2026-03-09 05:20:00+00:00,2026-03-09 05:40:00+00:00,SELL,23851.45,23818.6,32.85,2015.22,Target Hit
2026-03-10 06:40:00+00:00,2026-03-10 06:50:00+00:00,BUY,24172.5,24152.0,-20.5,-1452.5,Stop Loss Hit
2026-03-11 04:05:00+00:00,2026-03-11 04:20:00+00:00,BUY,24192.45,24148.55,-43.9,-2973.4,Stop Loss Hit
2026-03-11 04:35:00+00:00,2026-03-11 05:05:00+00:00,BUY,24118.2,24085.55,-32.65,-2242.15,Stop Loss Hit
2026-03-12 05:30:00+00:00,2026-03-12 05:45:00+00:00,SELL,23767.2,23696.9,70.3,4449.42,Target Hit
2026-03-12 09:20:00+00:00,2026-03-12 09:35:00+00:00,BUY,23633.05,23666.8,33.75,2073.75,Target Hit
2026-03-13 06:00:00+00:00,2026-03-13 06:10:00+00:00,SELL,23391.3,23407.9,-16.6,-1198.97,Stop Loss Hit
2026-03-16 07:15:00+00:00,2026-03-16 07:45:00+00:00,BUY,23102.65,23151.1,48.45,3029.2,Target Hit
2026-03-17 05:50:00+00:00,2026-03-17 05:55:00+00:00,BUY,23412.75,23383.7,-29.05,-2008.3,Stop Loss Hit
